0	Fields group	Management of the resource											Metadata of the artefact (description of the item)																																																				Link(s) to related resources			0
0													Artefact identity				Related entities			Artefact typology						Artefact format						Copper-plates set format								Date				Place of original exposition			Place of discovery							Place of preservation									Rights					0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the artefact	Designation	Alternative designation	Alternative designation	Identifier(s) of the text(s)	Identifier of the conglomerate artefact	Identifier of the monument	Artefact type 1	Reuse	Artefact type 2	Material type 1	Material type 2	Iconography and decoration	Height	Width	Depth	Diameter	Circumference	Weight	Plates (observed)	Plates (estimated)	Weight other	Binding information	Preservation of seal	Sealing technique	Height (or diam.) of the seal	Width (or diam.) of the seal	CE Date	Date range	History of the artefact	Remarks	Current Availability	Place of original exposition	Place of original exposition ID	Place of discovery	Place of discovery ID	Place of discovery coordinates	Discovery event 1	Date of discovery event 1	Discovery event 2	Date of discovery event 2	Collection or place of preservation	Collection ID or place of preservation ID	Inventory number	preservation event 1	preservation event 1	preservation event 2	preservation event 2	preservation event 3	preservation event 3	Institution or private person	Distribution rights of the artefact	Identifier of the surrogate	Identifier of the digital image	Link to external repository of images	0
0	Description of the fields	Digital identifier of the artefact. Syntax: ART<corpus>000001	Origin of the metadata: database or publication	Date of conversion of previously available metadata to the DHARMA model	Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)	Start date of metadata input/editing for DHARMA (YYYY-MM-DD)	Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)	Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)	Date of metadata validation (YYYY-MM-DD)	Project responsible for making these metadata available	Corpus to which the inscription pertains	Licence applicable to metadata	Identifier of the artefact. Syntax: ART<corpus>000001	Designation of the artefact	Alternative designation(s)	Alternative designation(s)	Identifier(s) of the text on the artefact(s), if there is more than one text on the artefact, separate the identifiers by $.	Identifier of the conglomerate artefact to which the artefact pertains	Identifier of the monument to which the artefact pertains	Artefact type	"no" by default, write "yes" if you're encoding a case of reuse	Artefact type	Material type	Material type	Iconography and/or decoration observed on the artefact — free text	Height of the artefact (cm)	Width of the artefact (cm)	Depth of the artefact (cm)	Diameter of the artefact (cm)	Circumference of the artefact (cm)	Weight of the artefact (g)	Number of plates observed within the set	Number of plates estimated (but not observed)	Other relevant weight(s) (g), e.g. seal, ring — free text	Number of binding rings preserved, location of the holes, dimension of the holes, etc. Free text	Default value 'not applicable'. Replace by yes or no in case of presence/loss of seal(s) 	Type of seal	Height or diameter of the seal matrix (cm)	Width or diameter of the seal matrix (cm)	YYYY-MM-DD or YYYY-MM or YYYY	YYYY-YYYY	Description of what is known or recorded about the origin and subsequent history of the artefact (free text)	Remarks on artefact-related metadata (free text)	To affirm in situ status, in collection status, loss, or uncertainty	Name of the place where the artefact was originally exposed — don't fill in if place ID is already available	ID of the place where the artefact was originally exposed	Place where the artefact was discovered — don't fill in if place ID is already available	ID of the place where the artefact was discovered	Coordinates if you have specific topographic data	type of events	date of events (YYYY or YYYY-MM or YYYY-MM-DD or YYYY-YYYY)	type of events	date of events (YYYY or YYYY-MM or YYYY-MM-DD or YYYY-YYYY)	Last known collection or place of preservation of the artefact — don't fill in if preserved in situ and if collection ID (next field) is available	Last known collection or place of preservation  — don't fill in if preserved in situ	Inventory number(s) of the artefact	type of events	date of events (YYYY or YYYY-MM or YYYY-MM-DD or YYYY-YYYY)	type of events	date of events (YYYY or YYYY-MM or YYYY-MM-DD or YYYY-YYYY)	type of events	date of events (YYYY or YYYY-MM or YYYY-MM-DD or YYYY-YYYY)	Institution or private person authorizing access to the artefact	Licence applicable to the artefact	Identifier(s) of the related surrogate(s). Use $ to separate the identifiers.	Identifier(s) of the related digital image(s). Use $ to separate the identifiers.	Link(s) to related images stored on external repository.  Use $ to separate the identifiers.	0
1		CONARTVengiCalukya000001			daba	2024-07-05				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000001							documentary-copper--plate			metal-copper_alloy		The seal is of the same piece of metal as the ring. It shows a crescent moon above the legend and a squatting boar facing proper right below the legend.	8	17.8				610	3		Plates: 460 g. Ring and seal: 150 g.	Ring hole 1 cm from left edge, vertically centred, diameter 1 cm. Ring thickness 0.6 cm, diameter 6.3 to 7.9 cm (oval shape).	yes	seal_on_binding_ring	2.2	2.2		617-627	The plates disappeared from view after Bal Gangadhar Sastri returned them to James Bird in or shortly before 1844. At some point in the 1880's, they were discovered "in some public auction rooms in London", purchased by A. W. Franks, and presented to the British Museum, from which they were inherited by the British Library.	Acquired in Satara (which may not be the original findspot) by James Bird, secretary of the Bombay Society.	in_collection			Satara, Satara District, Maharashtra		17.687304903204563, 74.00627615306706	find	1821-1844	find	1880-1889	British Library		Ind Ch 1								All rights reserved				1
2		CONARTVengiCalukya000002			daba	2023-12-06				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000002							documentary-copper--plate			metal-copper_alloy			5.2	18					3			Ring hole 2.6 cm from left edge, vertically centred, diameter 1 cm.	no	not applicable				640-642	The plates were already lost by 1891. According to an editorial footnote in Foulkes1870_01, impressions were preserved in the Bengal Asiatic Society's library.	All dimensions are estimated on the basis of the plates in Burnell1878_01, assuming with Fleet that these are reproduced 1:1.	lost			Chipurupalle, Chipurupalle Taluk, Visakhapatnam District		17.56173756100627, 83.08325312274	find	1867													All rights reserved				2
3		CONARTVengiCalukya000003			daba	2023-12-04				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000003							documentary-copper--plate			metal-copper_alloy		Seal: all but obliterated; possibly a moon above the legend, nothing discernible below the legend.	7.1	22.4					3			Ring hole 3.4 cm from left edge, vertically centred, diameter 1.6 cm. Ring diameter 7.5 cm.	yes	seal_on_binding_ring	3.6	3.6		624-641	2023-02-06 observed by daba	Discovered together with 00091 "in October last" according to ARIE 1907-1908 (most likely 1906) while digging a hole in a vacant house site.	in_collection			Timmāpuram, Sarvasiddhi Taluk, Visakhapatnam District, Andhra Pradesh		17.43342446086503, 82.75163439357617	find	1905-1907			Chennai, Government Museum		Cha.E-1 (SrinivasaAyyangar1918_01: CE1)	observed	2023-02-06						All rights reserved				3
4		CONARTVengiCalukya000004			daba	2023-12-06				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000004							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend.	8.2	17.5				1213	3		Ring and seal: 591g.	Ring hole 3.3 cm from left edge, vertically centred, diameter 1.5 cm. Ring thickness 1 cm, diameter 11.4 cm.	yes	seal_on_binding_ring	3.5	4.5		658-660	last known: obtained for Fleet by Sewell from the finder, a Brahmin of Pedda Maddali	Found at unknown time before 1881 while digging a foundation for a compound wall.	uncertain			Pedda-Maddāli, Nūrzivīd tāluk, Krishna district		16.34737023357851, 80.95295394026729	find	1861-1880													All rights reserved				4
5		CONARTVengiCalukya000005			daba	2023-12-06				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000005							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend. The bottom of the seal has broken off.	6.6	17.6				711	3		Ring and seal: 227 g.	Ring hole 3.5 cm from left edge, vertically centred, diameter 1.2 cm. Ring diameter 9.3 cm, thickness 1,9 cm.	yes	seal_on_binding_ring	3.8	3.8		658-660	2023-02-10 observed by daba	Dimensions are based on my photographs; the dimensions reported by SomasekharaSarma1955-1956_01 are slightly smaller. (The ASI cover sheet gives fewer dimensions, which are closer to but still less than those estimated by me.) Weight data are from the ASI cover sheet.Before becoming known to scholarship, the plates had been carefully preserved "for a long time" in the house of Pericherla Peddiraju, a landlord of Gudivada, together with the other two Gudivada sets. When and from where they came to him is not known. There are at least two other Gudivadas not very far from Visakhapatnam but on the northern side; I believe that the one in former Sarvasiddhi Taluk must be at the coordinates recorded here.	in_collection			Gudivada, Sarvasiddhi taluk		17.396971045999404, 82.79044944153723	find	1945			Eluru, Archaeological Museum		17	observed	2023-02-10						All rights reserved				5
6		CONARTVengiCalukya000006			daba	2023-12-06				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000006							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	5.7	20.1				840	3		Ring and seal: 332 g.	Ring hole 2.5 cm from left edge, vertically centred, diameter 1.2 cm. Ring diameter 9.5 cm, thickness 1 cm.	yes	seal_on_binding_ring	4.5	4.5		641-673	2023-02-10 observed by daba	Dimensions are based on my photographs; the dimensions reported by SomasekharaSarma1955-1956_01 are slightly smaller. (The ASI cover sheet gives fewer dimensions, which are closer to those estimated by me.) Weight data are from the ASI cover sheet.Before becoming known to scholarship, the plates had been carefully preserved "for a long time" in the house of Pericherla Peddiraju, a landlord of Gudivada, together with the other two Gudivada sets. When and from where they came to him is not known. There are at least two other Gudivadas not very far from Visakhapatnam but on the northern side; I believe that the one in former Sarvasiddhi Taluk must be at the coordinates recorded here.	in_collection			Gudivada, Sarvasiddhi taluk		17.396971045999404, 82.79044944153723	find	1945			Eluru, Archaeological Museum		18	observed	2023-02-10						All rights reserved				6
7		CONARTVengiCalukya000007			daba	2023-12-07				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000007							documentary-copper--plate			metal-copper_alloy		Seal: a spiral design occupies the entire seal face (no legend, no insignia).	6.3	18				519	3		Ring and seal: 146 g.	Ring hole 3.0 cm from left edge, vertically centred, diameter 1.2 cm. Ring diameter 7.5 cm, thickness 1 cm.	yes	seal_on_binding_ring	3.2	3.2		641-673	2023-02-12 observed by daba	Dimensions are based on my photographs; the dimensions reported by SomasekharaSarma1955-1956_01 are slightly smaller. The dimensions recorded on the ASI cover sheet are more or less the same as my data.Before becoming known to scholarship, the plates had been carefully preserved "for a long time" in the house of Pericherla Peddiraju, a landlord of Gudivada, together with the other two Gudivada sets. When and from where they came to him is not known. There are at least two other Gudivadas not very far from Visakhapatnam but on the northern side; I believe that the one in former Sarvasiddhi Taluk must be at the coordinates recorded here.	in_collection			Gudivada, Sarvasiddhi taluk		17.396971045999404, 82.79044944153723	find	1945			Rajahmundry, Rallabandi Subba Rao Archaeological Museum		19	observed	2023-02-12						All rights reserved				7
8		CONARTVengiCalukya000008			daba	2023-12-08				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000008							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	5.1	17.8	0.25			816	3		Ring and seal: 350 g (?).	Ring hole 1.5 cm from left edge, vertically centred, diameter 1.5 cm. Ring diameter 7.2 cm.	yes	seal_on_binding_ring	3.8	3.8		641-673	1925: was in the collection of Mr. Brindavanam Gopalacharlu in Īpūr (Tenali taluk, Guntur district).	Dimensions are as recorded on the ASI cover sheet and as measured in the ASI estampages. Hultzsch reports fairly identical values.Found while digging; no further details.	uncertain			Unspecified village of Kistna district.			find	1916													All rights reserved				8
9		CONARTVengiCalukya000009			daba	2023-12-15				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000009							documentary-copper--plate			metal-copper_alloy			7	19.7					3			Ring hole 2.5 cm from left edge, vertically centred, diameter 1.2 cm. Ring diameter 8.9 cm.	yes	seal_on_binding_ring				641-673	2023-02-06 NOT observed by daba in Chennai	No details of the seal have been reported apart from the legend and that it is circular. Script and hole dimensions are based on the printed estampages and the reported plate size.Found while digging, 2-3 feet below the surface, near Peddavegi.	in_collection			Peddavēgi, West Godavari District, Andhra Pradesh		16.810798733395476, 81.1062093498406	find	1917			Chennai, Government Museum		Sridhar+Balasubramanian2011_01: EC3, acc. no. 6/18	not_observed	2023-02-06						All rights reserved				9
